,Kurzbeschreibung,Beschreibung,Einheit
qflag,DCT Information,"DCT Information: 0..keine Korrektur,1..Korrektur,2..Korr.+Kommentar - Info aus klima.log Tabelle",Code
rel,Relative Feuchte Tagesmittel,Relative Feuchte Tagesmittel - (rel07 + rel14 + rel19) / 3,%
rel07,Relative Feuchte zum Beobachtungstermin I,Relative Feuchte um 7 Uhr MEZ bzw. MOZ gemessen,%
rel07_b,Relative Feuchte berechnet zum Beobachtungstermin I,Relative Feuchte um 7 Uhr MEZ bzw. MOZ aus der Feuchttemperatur berechnet - nach Goff-Gratch,%
rel14,Relative Feuchte zum Beobachtungstermin II,Relative Feuchte um 14 Uhr MEZ bzw. MOZ gemessen,%
rel14_b,Relative Feuchte berechnet zum Beobachtungstermin II,Relative Feuchte um 14 Uhr MEZ bzw. MOZaus der Feuchttemperatur berechnet - nach Goff-Gratch,%
rel19,Relative Feuchte zum Beobachtungstermin III,Relative Feuchte um 19 Uhr MEZ bzw. MOZ gemessen / vor 1971: 21 Uhr MOZ,%
rel19_b,Relative Feuchte berechnet zum Beobachtungstermin III,Relative Feuchte um 19 Uhr MEZ bzw. MOZ aus der Feuchttemperatur berechnet / vor 1971: 21 Uhr MOZ - nach Goff-Gratch,%
rel_b,Relative Feuchte berechnet Tagesmittel,"Relative Feuchte aus der Feuchttemperatur berechnet, Tagesmittel - (rel07_b + rel14_b + rel19_b) / 3",%
schnee,Gesamtschneehöhe zum Beobachtungstermin I,"Gesamtschneehöhe um 7 Uhr MEZ bzw. MOZ - Gemessen um 07:00 Uhr MEZ bzw. MOZ,  (-1 = kein Schnee, 0 = unter 1 cm)",cm
schnee_a,Schneeart zum Beobachtungstermin I,"Schneeart um 7 Uhr MEZ bzw. MOZ beobachtet - aus Erdbodenzustand um 7 Uhr MEZ berechnet, Tabelle klima.tag_code_schnee - klima.tag_code_schnee={0: keine Schneedecke, 1: Flecken, 2: durchbrochene Schneedecke, 3: normale Schneedecke, 9: keine Beobachtung der Gesamtschneeart}",Code
sicht07,Sichtweite zum Beobachtungstermin I,Sichtweite um 7 Uhr MEZ bzw. MOZ,m
sicht14,Sichtweite zum Beobachtungstermin II,Sichtweite um 14 Uhr MEZ bzw. MOZ,m
sicht19,Sichtweite zum Beobachtungstermin III,Sichtweite um 19 Uhr MEZ bzw. MOZ  / vor 1971: 21 Uhr  MOZ,m
sonne,Sonnenscheindauer 24h-Summe,Sonnenscheindauer 24h-Summe aus Stundenwerten,h
strahl,Globalstrahlung 24h-Summe,"Globalstrahlung kalibriert, Tagessumme aus den Stundenwerten",J/cm²
t,Lufttemperaturmittel 2m,"Lufttemperatur in 2m Höhe, Tagesmittel aus Extremwerten gerechnet - (tmax + tmin) / 2",°C
t14,Lufttemperatur 2m zum Beobachtungstermin II,Lufttemperatur in 2m Höhe um 14 Uhr MEZ bzw. MOZ,°C
t19,Lufttemperatur 2m zum Beobachtungstermin III,Lufttemperatur in 2m Höhe um Temperatur 19 Uhr MEZ bzw. MOZ / vor 1971: 21 Uhr MOZ,°C
t7,Lufttemperatur 2m zum Beobachtungstermin I,Lufttemperatur in 2m Höhe um Temperatur 7 Uhr MEZ bzw. MOZ,°C
tmax,Lufttemperatur 2m Maximum,"Lufttemperatur in 2m Höhe, Tagesmaximum (19 Uhr MEZ Vortag bis 19 Uhr MEZ)",°C
tmin,Lufttemperatur 2m Minimum,"Lufttemperatur in 2m Höhe, Tagesminimum (19 Uhr MEZ Vortag bis 19 Uhr MEZ)",°C
typ,Qualitätstyp,"Qualitätsflag={0-2: nicht geprüft, 3-5: automatisch geprüft, 6: manuell endgeprüft}",Code
vv,Windgeschwindigkeit Tagesmittel,"Windgeschwindigkeit, Tagesmittel aus den Terminwerten - (vv07 + vv14 + vv19) / 3, wobei jeder Beaufort-Wert erst in 1/10 m/s umgerechnet wird",m/s
vv07,Windstärke zum Beobachtungstermin I,Windstärke in Beaufort um 7 Uhr MEZ bzw. MOZ,Beaufort
vv14,Windstärke zum Beobachtungstermin II,Windstärke in Beaufort um 14 Uhr MEZ bzw. MOZ,Beaufort
vv19,Windstärke zum Beobachtungstermin III,Windstärke in Beaufort um 19 Uhr MEZ bzw. MOZ  / vor 1971: 21 Uhr MOZ,Beaufort
vvmax,Windgeschwindigkeit Tagesmaximum,Windgeschwindigkeit Tagesmaximum (0 bis 24 Uhr MEZ/MOZ),m/s
vvmaxz,Windstärke - Zeit des Tagesmaximums,Windstärke - Zeit des Tagesmaximums (0 bis 24 Uhr MEZ/MOZ) im Format hhmm,
